date,open,high,low,close,volume
2025-05-29 17:59:00,589.12,589.13,589.0,589.035,2898.0
2025-05-29 18:00:00,589.01,589.2,588.82,588.855,2994.0
2025-05-29 18:01:00,588.89,589.1,588.85,588.915,4258.0
2025-05-29 18:02:00,588.9385,588.97,588.78,588.911,13723.0
2025-05-29 18:03:00,588.99,589.1,588.92,588.92,2675.0
2025-05-29 18:04:00,588.95,589.14,588.945,589.125,7453.0
2025-05-29 18:05:00,589.08,589.19,588.95,588.99,2465.0
2025-05-29 18:06:00,588.96,589.15,588.89,589.15,1153.0
2025-05-29 18:07:00,589.16,589.17,588.759,588.95,5579.0
2025-05-29 18:08:00,588.87,589.08,588.87,589.07,2932.0
2025-05-29 18:09:00,589.09,589.56,589.06,589.51,2539.0
2025-05-29 18:10:00,589.44,589.52,589.44,589.47,9846.0
2025-05-29 18:11:00,589.4699,589.54,589.43,589.53,1314.0
2025-05-29 18:12:00,589.48,589.54,589.45,589.51,5579.0
2025-05-29 18:13:00,589.54,589.64,589.53,589.56,3798.0
2025-05-29 18:14:00,589.555,589.555,589.36,589.36,72.0
2025-05-29 18:15:00,589.3985,589.41,589.22,589.22,2690.0
2025-05-29 18:16:00,589.29,589.31,589.255,589.255,219.0
2025-05-29 18:17:00,589.235,589.29,589.2,589.25,273.0
2025-05-29 18:18:00,589.23,589.26,589.19,589.26,26.0
2025-05-29 18:19:00,589.1918,589.41,589.19,589.37,1047.0
2025-05-29 18:20:00,589.385,589.435,589.29,589.33,173.0
2025-05-29 18:21:00,589.335,589.41,589.3,589.33,67.0
2025-05-29 18:22:00,589.36,589.3699,589.315,589.315,1060.0
2025-05-29 18:23:00,589.28,589.3686,589.28,589.32,8.0
2025-05-29 18:24:00,589.2997,589.345,588.93,588.99,2719.0
2025-05-29 18:25:00,588.95,589.02,588.82,588.8295,1791.0
2025-05-29 18:26:00,588.84,588.8582,588.793,588.82,544.0
2025-05-29 18:27:00,588.815,588.815,588.61,588.63,2503.0
2025-05-29 18:28:00,588.64,588.72,588.55,588.6487,3567.0
2025-05-29 18:29:00,588.65,588.68,588.6,588.66,5769.0
2025-05-29 18:30:00,590.05,590.05,588.62,588.67,790402.0
2025-05-29 18:31:00,588.73,588.84,588.6915,588.8105,248.0
2025-05-29 18:32:00,588.7887,589.035,588.78,588.97,1598.0
2025-05-29 18:33:00,588.99,588.99,588.9,588.96,111.0
2025-05-29 18:34:00,588.961,589.01,588.7985,588.7985,6299.0
2025-05-29 18:35:00,588.771,588.82,588.71,588.7382,5360.0
2025-05-29 18:36:00,588.82,588.84,588.76,588.82,228.0
2025-05-29 18:37:00,588.79,588.8185,588.76,588.76,24.0
2025-05-29 18:38:00,588.76,588.7682,588.68,588.725,632.0
2025-05-29 18:39:00,588.76,588.76,588.66,588.6682,188.0
2025-05-29 18:40:00,588.67,588.68,588.6,588.63,110.0
2025-05-29 18:41:00,588.63,588.66,588.54,588.5487,296.0
2025-05-29 18:42:00,588.5496,588.6,588.535,588.6,307.0
2025-05-29 18:43:00,588.5989,588.6,588.505,588.51,449.0
2025-05-29 18:44:00,588.55,588.55,588.44,588.44,736.0
2025-05-29 18:45:00,588.45,588.4985,588.44,588.465,353.0
2025-05-29 18:46:00,588.5,588.595,588.5,588.595,273.0
2025-05-29 18:47:00,588.59,588.64,588.52,588.52,2868.0
2025-05-29 18:48:00,588.5,588.545,588.5,588.545,1512.0
2025-05-29 18:49:00,588.58,588.62,588.565,588.5813,992.0
2025-05-29 18:50:00,588.605,588.605,588.551,588.57,16.0
2025-05-29 18:51:00,588.55,588.575,588.2882,588.3485,2631.0
2025-05-29 18:52:00,588.3,588.49,588.3,588.49,525.0
2025-05-29 18:53:00,588.6,588.72,588.58,588.69,285.0
2025-05-29 18:54:00,588.66,588.66,588.535,588.59,347.0
2025-05-29 18:55:00,588.53,588.565,588.51,588.51,1053.0
2025-05-29 18:56:00,588.545,588.57,588.545,588.57,14.0
2025-05-29 18:57:00,588.57,588.6799,588.57,588.665,101.0
2025-05-29 18:58:00,588.65,588.715,588.65,588.715,1232.0
2025-05-29 18:59:00,588.75,588.78,588.72,588.76,264.0
2025-05-29 19:00:00,588.7,588.75,588.61,588.721,139.0
2025-05-29 19:01:00,588.72,588.86,588.6722,588.77,1758.0
2025-05-29 19:02:00,588.8,588.895,588.79,588.85,454.0
2025-05-29 19:03:00,588.79,588.84,588.73,588.73,89.0
2025-05-29 19:04:00,588.7001,588.74,588.7,588.74,178.0
2025-05-29 19:05:00,588.75,588.88,588.7404,588.82,1121.0
2025-05-29 19:06:00,588.7904,588.8697,588.7904,588.86,462.0
2025-05-29 19:07:00,588.89,588.95,588.871,588.935,587.0
2025-05-29 19:08:00,588.93,589.0,588.93,589.0,743.0
2025-05-29 19:09:00,589.0,589.0,588.94,588.975,67.0
2025-05-29 19:10:00,588.94,589.0,588.89,588.92,116.0
2025-05-29 19:11:00,588.93,588.95,588.93,588.9301,1146.0
2025-05-29 19:12:00,588.95,588.95,588.89,588.92,61.0
2025-05-29 19:13:00,588.92,588.9299,588.895,588.9299,357.0
2025-05-29 19:14:00,588.91,588.93,588.82,588.89,578.0
2025-05-29 19:15:00,588.93,589.03,588.89,589.03,1026.0
2025-05-29 19:16:00,589.0,589.03,588.965,588.965,169.0
2025-05-29 19:17:00,588.9981,588.9981,588.79,588.795,60.0
2025-05-29 19:18:00,588.8,588.93,588.8,588.841,215.0
2025-05-29 19:19:00,588.88,588.99,588.84,588.99,332.0
2025-05-29 19:20:00,588.98,589.015,588.97,589.0,39.0
2025-05-29 19:21:00,588.985,589.06,588.985,589.0,1052.0
2025-05-29 19:22:00,589.025,589.05,588.89,588.93,47.0
2025-05-29 19:23:00,588.93,589.02,588.93,589.02,871.0
2025-05-29 19:24:00,589.02,589.13,589.02,589.125,1597.0
2025-05-29 19:25:00,589.125,589.125,589.0899,589.0899,17.0
2025-05-29 19:26:00,589.08,589.09,589.08,589.09,3.0
2025-05-29 19:27:00,589.1,589.11,588.99,588.99,756.0
2025-05-29 19:28:00,588.94,589.02,588.93,589.02,15.0
2025-05-29 19:29:00,589.02,589.02,588.95,588.98,444.0
2025-05-29 19:30:00,589.01,589.01,588.99,588.99,277.0
2025-05-29 19:31:00,588.95,589.14,588.95,589.14,800.0
2025-05-29 19:32:00,589.08,589.115,588.96,589.0199,122.0
2025-05-29 19:33:00,589.0,589.0,588.81,588.81,941.0
2025-05-29 19:34:00,588.798,588.85,588.7417,588.81,59.0
2025-05-29 19:35:00,588.81,588.86,588.7719,588.8,311.0
2025-05-29 19:36:00,588.8401,588.86,588.821,588.821,173.0
2025-05-29 19:37:00,588.825,588.825,588.66,588.68,331.0
2025-05-29 19:38:00,588.68,588.735,588.65,588.735,12.0
2025-05-29 19:39:00,588.73,588.73,588.6587,588.6587,91.0
2025-05-29 19:40:00,588.67,588.675,588.65,588.65,8.0
2025-05-29 19:41:00,588.655,588.68,588.63,588.68,2109.0
2025-05-29 19:42:00,588.6402,588.7,588.61,588.68,423.0
2025-05-29 19:43:00,588.645,588.645,588.3695,588.3695,2765.0
2025-05-29 19:44:00,588.39,588.45,588.35,588.42,775.0
2025-05-29 19:45:00,588.38,588.38,588.24,588.33,4236.0
2025-05-29 19:46:00,588.31,588.34,588.23,588.305,1632.0
2025-05-29 19:47:00,588.34,588.34,588.23,588.25,235.0
2025-05-29 19:48:00,588.269,588.32,588.23,588.3196,1569.0
2025-05-29 19:49:00,588.3083,588.3705,588.25,588.27,1595.0
2025-05-29 19:50:00,588.34,588.4,588.26,588.26,344.0
2025-05-29 19:51:00,588.26,588.34,588.25,588.3,60.0
2025-05-29 19:52:00,588.37,588.37,588.19,588.33,4359.0
2025-05-29 19:53:00,588.34,588.43,588.34,588.38,224.0
2025-05-29 19:54:00,588.39,588.4,588.33,588.4,318.0
